image,well,roi_area,raw_mean,raw_median,raw_intden,mean_gray,median_gray,sd_gray,min_gray,max_gray,intden_gray,cv_gray,dark_frac_40,dark_frac_60,dark_frac_80
128L_crop,TR,484526.000,125.164,126.000,60645414.000,130.398,132.000,18.212,13.000,187.000,63181333.000,0.139665,0.130,0.388,1.215

128L_crop,BL,475902.000,153.284,154.000,72948220.000,153.182,155.000,16.802,31.000,201.000,72899533.000,0.109684,0.037,0.157,0.489

128L_crop,BM,495156.000,136.780,140.000,67727401.000,145.172,152.000,30.191,21.000,208.000,71882917.000,0.207964,0.514,2.045,4.944

128L_crop,BR,463304.000,65.963,49.000,30560990.000,83.570,58.000,57.100,0.000,234.000,38718379.000,0.683263,29.058,51.935,60.905

147H_crop,TL,477851.000,123.358,126.000,58946701.000,132.729,136.000,24.362,12.000,209.000,63424827.000,0.183545,23.777,23.965,24.575

147H_crop,TM,503920.000,138.294,141.000,69689138.000,144.193,148.000,25.495,14.000,209.000,72661641.000,0.176811,0.582,1.388,2.969

147H_crop,TR,484526.000,64.956,47.000,31472654.000,83.280,57.000,58.251,2.000,237.000,40351303.000,0.699465,33.378,52.024,59.848

147H_crop,BL,475902.000,63.728,64.000,30328111.000,71.205,71.000,7.251,6.000,122.000,33886695.000,0.101834,0.039,5.130,91.226

147H_crop,BM,495156.000,60.140,60.000,29778862.000,67.932,68.000,6.717,16.000,100.000,33636847.000,0.098876,0.057,11.954,96.282

147H_crop,BR,463304.000,55.382,55.000,25658906.000,63.436,63.000,6.911,2.000,109.000,29390234.000,0.108939,0.061,34.008,98.487

147L_crop,TL,477851.000,128.881,130.000,61586077.000,134.164,136.000,16.804,5.000,198.000,64110182.000,0.125251,23.570,23.723,24.006

147L_crop,TM,503920.000,151.733,152.000,76461488.000,151.930,153.000,14.214,31.000,198.000,76560699.000,0.093555,0.012,0.055,0.162

147L_crop,TR,484526.000,150.360,151.000,72853133.000,150.050,151.000,11.998,47.000,187.000,72703225.000,0.079959,0.000,0.013,0.045

147L_crop,BL,475902.000,161.862,162.000,77030598.000,160.459,162.000,10.819,52.000,200.000,76362726.000,0.067428,0.000,0.001,0.003

147L_crop,BM,495156.000,145.982,147.000,72284085.000,147.851,150.000,17.559,21.000,201.000,73209311.000,0.118763,0.112,0.363,0.812

147L_crop,BR,463304.000,140.516,142.000,65101505.000,144.136,147.000,21.101,22.000,202.000,66778876.000,0.146399,0.449,0.837,1.384

150H_crop,TL,477851.000,139.758,140.000,66783403.000,141.060,142.000,10.965,32.000,179.000,67405475.000,0.077731,23.559,23.564,23.575

150H_crop,TM,503920.000,86.466,89.000,43571964.000,124.793,129.000,64.683,2.000,250.000,62885439.000,0.518325,13.173,21.798,30.135

150H_crop,TR,484526.000,51.077,49.000,24748194.000,60.119,57.000,17.116,0.000,163.000,29129052.000,0.284702,2.945,64.676,91.899

150H_crop,BL,475902.000,66.289,66.000,31547174.000,73.291,73.000,6.558,5.000,121.000,34879495.000,0.089482,0.024,1.997,87.886

150H_crop,BM,495156.000,62.532,62.000,30963074.000,70.181,70.000,6.463,18.000,98.000,34750435.000,0.092087,0.032,5.841,94.432

150H_crop,BR,463304.000,53.364,53.000,24723967.000,61.965,61.000,7.532,1.000,107.000,28708483.000,0.121548,0.102,45.489,97.755

150L_crop,TL,477851.000,117.676,118.000,56231811.000,123.259,124.000,14.752,2.000,180.000,58899273.000,0.119684,23.556,23.558,23.595

150L_crop,TM,503920.000,120.611,121.000,60778123.000,125.802,127.000,15.220,24.000,186.000,63394334.000,0.120982,0.034,0.136,0.613

150L_crop,TR,484526.000,117.343,118.000,56855914.000,124.147,125.000,16.336,9.000,172.000,60152469.000,0.131583,0.077,0.198,1.132

150L_crop,BL,475902.000,122.788,123.000,58434903.000,127.781,129.000,16.211,17.000,180.000,60811469.000,0.126864,0.064,0.180,0.862

150L_crop,BM,495156.000,120.123,121.000,59479608.000,127.520,129.000,18.687,19.000,188.000,63142407.000,0.146541,0.197,0.618,1.930

150L_crop,BR,463304.000,112.266,117.000,52013214.000,133.159,144.000,53.585,8.000,238.000,61692962.000,0.402415,6.398,13.501,20.948

160H_crop,TL,477851.000,156.667,157.000,74863697.000,156.038,157.000,10.272,34.000,187.000,74562772.000,0.065833,23.558,23.564,23.575

160H_crop,TM,503920.000,74.640,64.000,37612814.000,100.284,86.000,64.562,1.000,251.000,50535362.000,0.643786,24.143,38.988,47.983

160H_crop,TR,484526.000,57.074,57.000,27654076.000,66.206,65.000,8.920,0.000,144.000,32078758.000,0.134725,0.118,25.615,94.029

160H_crop,BL,475902.000,54.262,54.000,25823252.000,63.326,63.000,7.627,7.000,96.000,30136837.000,0.120438,0.144,36.658,97.664

160H_crop,BM,495156.000,67.257,67.000,33302766.000,75.060,74.000,7.700,15.000,103.000,37166302.000,0.102582,0.025,1.817,76.768

